TAG,PACKAGE NAME,DESCRIPTION
,mpv,"A free, open source, and cross-platform media player"
,youtube-dl,A command-line program to download videos from YouTube.com and a few more sites
,neofetch,A CLI system information tool written in BASH that supports displaying images.
,flameshot,Powerful yet simple to use screenshot software
,htop,Interactive process viewer
,neovim,"Fork of Vim aiming to improve user experience, plugins, and GUIs"
,nodejs,Evented I/O for V8 javascript
,npm,A package manager for javascript
,alacritty,"A cross-platform, GPU-accelerated terminal emulator"
,tmux,A terminal multiplexer
,signal-desktop,Signal Private Messenger for Linux
,discord,All-in-one voice and text chat for gamers that's free and secure.
,telegram-desktop,Official Telegram Desktop client
,firefox,Standalone web browser from mozilla.org
,libreoffice-fresh,LibreOffice branch which contains new features and program enhancements
,bat,Cat clone with syntax highlighting and git integration
,exa,ls replacement
,ttf-fira-code,Monospaced font with programming ligatures
,wget,Network utility to retrieve files from the Web
,ripgrep,A search tool that combines the usability of ag with the raw speed of grep
,man-db,A utility for reading man pages
,diff-so-fancy,Good-looking git diffs with diff-highlight and more
,xclip,Command line interface to the X11 clipboard
,zathura,Minimalistic document viewer
,zathura-pdf-poppler,Adds pdf support to zathura by using the poppler engine
,hunspell-en_us,US English hunspell dictionaries
,stow,Manage installation of multiple softwares in the same directory tree
,tealdeer,A fast tldr client in Rust
AUR,skypeforlinux-stable-bin,Skype for Linux - Stable/Release Version
AUR,teams,Microsoft Teams for Linux is your chat-centered workspace in Office 365
AUR,ttf-ms-fonts,Core TTF Fonts from Microsoft
AUR,visual-studio-code-bin,Editor for building and debugging modern web and cloud applications (official binary version)
AUR,zoom,Video Conferencing and Web Conferencing Service
AUR,mpv-mpris,MPRIS (Media Player Remote Interface Spec) plugin for mpv
AUR,pokemon-colorscripts-git,CLI utility that prints unicode sprites of pokemon to the terminal
AUR,nerd-fonts-fira-code,Patched font Fira (Fura) Code from the nerd-fonts library
AUR,nvim-packer-git,A use-package inspired plugin manager for Neovim.
WM,playerctl,"mpris media player controller and lib for spotify, vlc, audacious, bmp, xmms2, and others."
WM,brightnessctl,Lightweight brightness control tool
WM,hyprland,A dynamic tiling Wayland compositor based on wlroots that doesn't sacrifice on its looks.
WM,jq,Command-line JSON processor
WM,dunst,Customizable and lightweight notification-daemon
WM/AUR,ly,TUI display manager
WM/AUR,rofi-lbonn-wayland-git,"A window switcher, application launcher and dmenu replacement (fork with Wayland support)"
WM/AUR,waybar-hyprland-git,"Highly customizable Wayland bar for Sway and Wlroots based compositors, with workspaces support for Hyprland (git version)"
WM/AUR,redshift-wayland-git,Adjusts the color temperature of your screen according to your surroundings.
GNOME,baobab,A graphical directory tree analyzer
GNOME,eog,An image viewing and cataloging program
GNOME,evince,"Document viewer (PDF, PostScript, XPS, djvu, dvi, tiff, cbr, cbz, cb7, cbt)"
GNOME,file-roller,Create and modify archives
GNOME,gdm,Display manager and login screen
GNOME,gedit,GNOME Text Editor
GNOME,gnome-backgrounds,Background images and data for GNOME
GNOME,gnome-calculator,GNOME Scientific calculator
GNOME,gnome-characters,A character map application
GNOME,gnome-disk-utility,Disk Management Utility for GNOME
GNOME,gnome-session,The GNOME Session Handler
GNOME,gnome-settings-daemon,GNOME Settings Daemon
GNOME,gnome-shell,Next generation desktop shell
GNOME,gnome-shell-extensions,"Extensions for GNOME shell, including classic mode"
GNOME,gnome-system-monitor,View current processes and monitor system state
GNOME,gnome-themes-extra,Extra Themes for GNOME Applications
GNOME,gnome-control-center,GNOME's main interface to configure various aspects of the desktop
GNOME,mutter,A window manager for GNOME
GNOME,nautilus,Default file manager for GNOME
GNOME,sushi,A quick previewer for Nautilus
GNOME,simple-scan,Simple scanning utility
GNOME,gnome-tweaks,Graphical interface for advanced GNOME 3 settings (Tweak Tool)
GNOME,network-manager-applet,Applet for managing network connections
GNOME,gthumb,Image browser and viewer for the GNOME Desktop
GNOME,gnome-keyring,Stores passwords and encryption keys
GNOME/AUR,gnome-shell-extension-arch-update,Convenient indicator for Arch Linux updates in GNOME Shell.
GNOME/AUR,gnome-shell-extension-audio-output-switcher-git,Adds a switch for choosing audio output to the system menu.
GNOME/AUR,gnome-shell-extension-dash-to-dock,Move the dash out of the overview transforming it in a dock
GNOME/AUR,gnome-shell-extension-gsconnect,KDE Connect implementation with GNOME Shell integration
GNOME/AUR,gnome-shell-extension-openweather-git,A simple extension for displaying weather informations from several cities in GNOME Shell.
GNOME/AUR,gnome-shell-extension-appindicator-git,Integrates AppIndicators into GNOME Shell
